user_id,date,steps,calories_burned,heart_rate_avg,sleep_hours,activity_type
1,2023-05-23,328,249.0,60,9.14,yoga
2,2023-05-23,2137,575.7,146,6.02,cycling
3,2023-05-23,539,582.0,132,6.78,swimming
4,2023-05-23,13125,1176.5,148,4.14,running
5,2023-05-23,14121,1264.26,154,8.8,running
6,2023-05-23,429,100.0,98,5.81,yoga
7,2023-05-23,661,598.0,147,7.17,swimming
8,2023-05-23,1800,728.0,105,9.23,cycling
9,2023-05-23,302,622.0,148,9.21,swimming
10,2023-05-23,672,466.0,156,9.94,swimming
11,2023-05-23,8859,743.54,164,6.06,running
12,2023-05-23,17865,1539.9,163,9.16,running
13,2023-05-23,198,140.0,98,4.27,yoga
14,2023-05-23,9302,1464.1,140,8.89,hiking
15,2023-05-23,262,225.0,82,5.38,yoga
16,2023-05-23,87,185.0,76,9.29,yoga
17,2023-05-23,201,256.0,68,9.57,yoga
18,2023-05-23,6374,452.96,88,4.28,walking
19,2023-05-23,679,662.0,139,7.92,swimming
20,2023-05-23,14598,709.92,108,6.07,walking
21,2023-05-23,2609,761.0,115,5.08,gym_workout
22,2023-05-23,982,666.0,142,5.43,swimming
23,2023-05-23,1805,500.0,101,7.37,gym_workout
24,2023-05-23,19988,1694.4,123,7.9,hiking
25,2023-05-23,14181,796.24,99,5.0,walking
26,2023-05-23,4466,798.6,117,6.39,cycling
27,2023-05-23,3302,502.0,155,9.98,gym_workout
28,2023-05-23,2099,833.9,129,8.06,cycling
29,2023-05-23,3329,995.9,113,9.29,cycling
30,2023-05-23,322,565.0,111,8.85,swimming
31,2023-05-23,13123,822.92,91,9.61,walking
32,2023-05-23,18774,1522.44,158,4.07,running
33,2023-05-23,11472,731.88,70,5.05,walking
34,2023-05-23,5878,358.0,124,5.05,gym_workout
35,2023-05-23,7626,596.04,71,5.13,walking
36,2023-05-23,218,250.0,72,4.71,yoga
37,2023-05-23,7069,757.45,152,6.35,hiking
38,2023-05-23,734,547.0,138,6.53,swimming
39,2023-05-23,639,455.0,112,7.54,swimming
40,2023-05-23,372,134.0,97,8.58,yoga
41,2023-05-23,3463,423.52,93,4.23,walking
42,2023-05-23,12103,636.12,105,6.07,walking
43,2023-05-23,115,266.0,64,5.85,yoga
44,2023-05-23,6510,375.4,91,8.16,walking
45,2023-05-23,12071,1399.55,134,8.57,hiking
46,2023-05-23,282,610.0,138,8.44,swimming
47,2023-05-23,1216,764.0,115,8.83,gym_workout
48,2023-05-23,12370,943.2,140,5.95,running
49,2023-05-23,415,199.0,89,8.61,yoga
50,2023-05-23,9412,1449.6,156,6.57,hiking
51,2023-05-23,332,512.0,131,4.73,swimming
52,2023-05-23,913,472.0,132,5.35,swimming
53,2023-05-23,18146,1347.3,110,4.44,hiking
54,2023-05-23,5545,746.0,115,4.45,gym_workout
55,2023-05-23,4823,991.3,132,6.87,cycling
56,2023-05-23,2247,878.7,119,7.58,cycling
57,2023-05-23,684,428.0,158,4.99,swimming
58,2023-05-23,5793,380.72,94,9.06,walking
59,2023-05-23,14414,737.56,86,4.02,walking
60,2023-05-23,5964,634.0,103,6.55,gym_workout
61,2023-05-23,1330,895.0,104,7.86,gym_workout
62,2023-05-23,792,537.0,148,8.28,swimming
63,2023-05-23,9518,978.9,126,5.89,hiking
64,2023-05-23,1808,374.0,139,4.07,gym_workout
65,2023-05-23,570,708.0,140,5.99,swimming
66,2023-05-23,12156,957.36,162,9.7,running
67,2023-05-23,1282,755.2,107,5.98,cycling
68,2023-05-23,297,580.0,145,7.18,swimming
69,2023-05-23,894,415.0,139,4.75,swimming
70,2023-05-23,323,339.0,118,6.79,swimming
71,2023-05-23,3543,430.0,141,8.43,gym_workout
72,2023-05-23,834,727.0,116,7.77,swimming
73,2023-05-23,304,151.0,77,4.79,yoga
74,2023-05-23,5034,381.36,102,6.92,walking
75,2023-05-23,3803,273.12,94,5.08,walking
76,2023-05-23,590,742.0,119,7.69,swimming
77,2023-05-23,66,196.0,74,9.36,yoga
78,2023-05-23,315,740.0,138,8.65,swimming
79,2023-05-23,13599,1088.95,143,5.53,hiking
80,2023-05-23,2903,971.3,107,8.01,cycling
81,2023-05-23,12123,1144.38,120,6.24,running
82,2023-05-23,2862,770.2,135,5.15,cycling
83,2023-05-23,1653,472.3,126,7.08,cycling
84,2023-05-23,2227,661.0,115,9.89,gym_workout
85,2023-05-23,6891,552.64,105,7.82,walking
86,2023-05-23,17703,1437.18,164,9.97,running
87,2023-05-23,12310,666.4,105,9.28,walking
88,2023-05-23,132,206.0,69,4.87,yoga
89,2023-05-23,15188,1217.28,157,8.04,running
90,2023-05-23,21074,1960.7,112,6.73,hiking
91,2023-05-23,1113,441.0,114,7.23,gym_workout
92,2023-05-23,142,166.0,97,5.44,yoga
93,2023-05-23,2869,633.9,111,6.14,cycling
94,2023-05-23,9116,1264.8,127,4.85,hiking
95,2023-05-23,5253,821.0,113,9.67,gym_workout
96,2023-05-23,9194,1342.7,117,5.7,hiking
97,2023-05-23,7516,487.64,83,5.2,walking
98,2023-05-23,769,793.0,147,9.86,swimming
99,2023-05-23,3259,621.0,138,7.33,gym_workout
100,2023-05-23,78,179.0,87,5.56,yoga
101,2023-05-23,881,660.1,100,6.31,cycling
102,2023-05-23,17850,1446.0,156,4.75,running
103,2023-05-23,4571,1017.1,101,4.31,cycling
104,2023-05-23,19325,1597.5,134,9.78,running
105,2023-05-23,156,124.0,74,7.35,yoga
106,2023-05-23,3464,935.4,131,6.35,cycling
107,2023-05-23,395,105.0,70,4.25,yoga
108,2023-05-23,18394,1400.64,146,5.63,running
109,2023-05-23,7717,1074.85,152,6.56,hiking
110,2023-05-23,5223,505.92,108,7.38,walking
111,2023-05-23,207,175.0,82,9.83,yoga
112,2023-05-23,13715,825.6,73,9.97,walking
113,2023-05-23,3456,836.0,151,6.95,gym_workout
114,2023-05-23,6282,835.92,129,8.92,running
115,2023-05-23,14158,706.32,101,7.79,walking
116,2023-05-23,1996,776.0,101,5.65,gym_workout
117,2023-05-23,3922,420.88,102,6.11,walking
118,2023-05-23,4339,843.0,147,4.44,gym_workout
119,2023-05-23,22710,1657.5,143,6.39,hiking
120,2023-05-23,850,444.0,127,6.06,cycling
121,2023-05-23,511,718.0,118,8.72,swimming
122,2023-05-23,751,692.0,132,4.06,swimming
123,2023-05-23,254,764.0,119,6.39,swimming
124,2023-05-23,638,550.8,103,4.44,cycling
125,2023-05-23,153,676.0,118,8.66,swimming
126,2023-05-23,2781,920.1,129,4.64,cycling
127,2023-05-23,5125,759.0,125,5.97,gym_workout
128,2023-05-23,17711,1490.55,131,7.93,hiking
129,2023-05-23,12461,1008.66,165,6.07,running
130,2023-05-23,2674,897.0,104,6.5,gym_workout
131,2023-05-23,1855,572.5,146,8.58,cycling
132,2023-05-23,4358,465.32,79,9.66,walking
133,2023-05-23,208,240.0,91,4.48,yoga
134,2023-05-23,8878,862.9,111,8.73,hiking
135,2023-05-23,652,712.2,136,6.82,cycling
136,2023-05-23,792,601.0,129,6.76,swimming
137,2023-05-23,16200,1519.0,128,9.62,hiking
138,2023-05-23,5497,396.88,90,8.54,walking
139,2023-05-23,11022,1053.1,144,5.75,hiking
140,2023-05-23,706,588.0,134,8.08,swimming
141,2023-05-23,7780,1170.0,144,7.34,hiking
142,2023-05-23,2243,889.3,111,7.67,cycling
143,2023-05-23,13175,795.0,105,7.72,walking
144,2023-05-23,14128,711.12,87,6.82,walking
145,2023-05-23,1686,724.6,108,4.86,cycling
146,2023-05-23,1809,597.9,128,7.07,cycling
147,2023-05-23,10922,645.88,82,9.33,walking
148,2023-05-23,4456,1016.6,128,8.45,cycling
149,2023-05-23,968,533.0,125,6.57,swimming
150,2023-05-23,17518,1736.9,113,4.79,hiking
151,2023-05-23,21719,2065.95,120,6.57,hiking
152,2023-05-23,573,682.0,150,4.94,swimming
153,2023-05-23,7827,600.08,75,8.95,walking
154,2023-05-23,176,232.0,98,9.48,yoga
155,2023-05-23,7715,541.6,85,8.33,walking
156,2023-05-23,13996,1101.8,148,8.24,hiking
157,2023-05-23,337,269.0,98,8.06,yoga
158,2023-05-23,168,755.0,117,5.66,swimming
159,2023-05-23,19052,1529.12,154,5.69,running
160,2023-05-23,937,328.0,139,9.36,swimming
161,2023-05-23,864,380.0,119,9.32,swimming
162,2023-05-23,7096,676.76,161,8.75,running
163,2023-05-23,435,184.0,96,6.12,yoga
164,2023-05-23,8494,565.76,85,5.77,walking
165,2023-05-23,1808,567.8,136,7.33,cycling
166,2023-05-23,10941,545.64,102,4.48,walking
167,2023-05-23,249,566.0,111,7.24,swimming
168,2023-05-23,4810,911.0,133,5.52,cycling
169,2023-05-23,4518,1091.8,122,8.22,cycling
170,2023-05-23,11840,1042.4,134,7.35,running
171,2023-05-23,280,650.0,149,4.18,swimming
172,2023-05-23,10163,854.78,163,4.76,running
173,2023-05-23,1064,639.0,116,4.68,gym_workout
174,2023-05-23,3404,407.0,134,8.1,gym_workout
175,2023-05-23,19195,1388.75,133,5.06,hiking
176,2023-05-23,17531,1376.86,145,6.28,running
177,2023-05-23,361,299.0,99,7.95,yoga
178,2023-05-23,3741,826.1,129,8.9,cycling
179,2023-05-23,194,695.0,114,6.42,swimming
180,2023-05-23,19979,1671.74,147,6.46,running
181,2023-05-23,731,427.0,153,6.99,swimming
182,2023-05-23,227,143.0,80,6.44,yoga
183,2023-05-23,18867,1596.02,121,5.44,running
184,2023-05-23,4731,782.1,145,4.61,cycling
185,2023-05-23,193,157.0,76,8.4,yoga
186,2023-05-23,13273,643.92,97,8.89,walking
187,2023-05-23,489,227.0,94,5.19,yoga
188,2023-05-23,16849,1388.94,137,7.59,running
189,2023-05-23,5363,551.0,141,4.09,gym_workout
190,2023-05-23,106,710.0,121,7.36,swimming
191,2023-05-23,5402,775.0,124,7.16,gym_workout
192,2023-05-23,105,388.0,137,7.24,swimming
193,2023-05-23,13125,788.0,93,5.21,walking
194,2023-05-23,464,224.0,93,9.99,yoga
195,2023-05-23,1834,776.4,101,7.78,cycling
196,2023-05-23,3652,901.2,113,5.85,cycling
197,2023-05-23,3211,375.44,73,6.63,walking
198,2023-05-23,1601,781.1,115,7.31,cycling
199,2023-05-23,100,694.0,135,7.15,swimming
200,2023-05-23,802,352.0,139,4.22,swimming
201,2023-05-23,642,517.0,158,9.17,swimming
202,2023-05-23,635,367.0,148,5.55,swimming
203,2023-05-23,2408,730.0,155,5.07,gym_workout
204,2023-05-23,4956,381.0,143,7.55,gym_workout
205,2023-05-23,1205,461.5,113,8.82,cycling
206,2023-05-23,455,203.0,86,6.92,yoga
207,2023-05-23,308,171.0,61,5.75,yoga
208,2023-05-23,10488,592.52,108,6.35,walking
209,2023-05-23,4569,867.9,113,4.85,cycling
210,2023-05-23,487,156.0,78,9.22,yoga
211,2023-05-23,3513,841.3,134,4.16,cycling
212,2023-05-23,262,352.0,139,7.88,swimming
213,2023-05-23,433,219.0,86,8.69,yoga
214,2023-05-23,546,698.0,123,9.38,swimming
215,2023-05-23,1134,777.4,148,4.59,cycling
216,2023-05-23,9710,1289.5,142,5.39,hiking
217,2023-05-23,16861,1372.66,136,7.44,running
218,2023-05-23,1324,514.0,152,4.68,gym_workout
219,2023-05-23,3706,841.6,119,9.05,cycling
220,2023-05-23,641,609.0,130,5.32,swimming
221,2023-05-23,132,134.0,76,5.07,yoga
222,2023-05-23,8165,493.6,89,5.89,walking
223,2023-05-23,185,237.0,61,8.92,yoga
224,2023-05-23,242,166.0,68,9.54,yoga
225,2023-05-23,188,139.0,94,7.82,yoga
226,2023-05-23,433,236.0,68,5.7,yoga
227,2023-05-23,12785,1176.1,128,6.96,running
228,2023-05-23,6222,691.32,120,8.26,running
229,2023-05-23,617,545.0,136,7.73,swimming
230,2023-05-23,3815,326.0,100,7.42,gym_workout
231,2023-05-23,1337,588.0,141,5.13,gym_workout
232,2023-05-23,21345,1940.25,154,5.67,hiking
233,2023-05-23,1891,673.1,105,5.24,cycling
234,2023-05-23,11280,931.8,152,5.33,running
235,2023-05-23,254,170.0,87,5.14,yoga
236,2023-05-23,10025,816.5,168,8.63,running
237,2023-05-23,13410,1487.5,124,8.96,hiking
238,2023-05-23,383,524.0,144,8.4,swimming
239,2023-05-23,257,156.0,77,4.24,yoga
240,2023-05-23,7529,475.16,79,6.17,walking
241,2023-05-23,3325,696.5,139,4.0,cycling
242,2023-05-23,712,706.0,157,5.71,swimming
243,2023-05-23,938,571.0,115,8.62,swimming
244,2023-05-23,161,739.0,110,7.52,swimming
245,2023-05-23,5637,823.0,155,4.06,gym_workout
246,2023-05-23,10119,629.76,98,4.17,walking
247,2023-05-23,5170,489.8,88,6.76,walking
248,2023-05-23,3029,556.0,156,8.57,gym_workout
249,2023-05-23,7076,783.56,148,4.43,running
250,2023-05-23,10015,1033.9,155,9.72,running
251,2023-05-23,144,344.0,127,8.14,swimming
252,2023-05-23,1493,798.0,142,9.89,gym_workout
253,2023-05-23,290,148.0,72,5.8,yoga
254,2023-05-23,582,549.0,116,5.62,swimming
255,2023-05-23,3884,296.36,100,6.2,walking
256,2023-05-23,755,791.0,155,4.19,swimming
257,2023-05-23,437,108.0,94,8.69,yoga
258,2023-05-23,16801,1246.05,110,8.63,hiking
259,2023-05-23,8551,1222.55,112,4.33,hiking
260,2023-05-23,16644,1734.2,143,8.83,hiking
261,2023-05-23,20525,1696.25,117,8.65,hiking
262,2023-05-23,12636,1201.16,133,6.62,running
263,2023-05-23,396,258.0,70,9.85,yoga
264,2023-05-23,1978,570.0,142,4.87,gym_workout
265,2023-05-23,10507,537.28,83,8.97,walking
266,2023-05-23,7056,529.24,106,5.13,walking
267,2023-05-23,338,500.0,124,8.27,swimming
268,2023-05-23,20263,1983.15,124,9.75,hiking
269,2023-05-23,262,253.0,92,5.44,yoga
270,2023-05-23,9956,504.24,80,7.67,walking
271,2023-05-23,820,610.0,127,6.58,swimming
272,2023-05-23,1293,807.3,100,8.2,cycling
273,2023-05-23,20394,1868.7,137,7.78,hiking
274,2023-05-23,4465,1129.5,118,5.21,cycling
275,2023-05-23,3395,659.5,139,6.82,cycling
276,2023-05-23,19471,1447.26,148,6.88,running
277,2023-05-23,141,242.0,89,7.25,yoga
278,2023-05-23,2547,646.7,101,4.29,cycling
279,2023-05-23,4996,882.6,125,5.75,cycling
280,2023-05-23,719,374.9,136,7.95,cycling
281,2023-05-23,4871,340.84,77,9.48,walking
282,2023-05-23,11386,557.44,77,5.2,walking
283,2023-05-23,883,579.3,147,6.22,cycling
284,2023-05-23,15563,1306.15,136,6.46,hiking
285,2023-05-23,10136,1217.8,134,5.75,hiking
286,2023-05-23,19018,1435.08,165,7.52,running
287,2023-05-23,3713,460.0,105,6.44,gym_workout
288,2023-05-23,2422,415.0,110,7.07,gym_workout
289,2023-05-23,20230,1934.5,154,4.02,hiking
290,2023-05-23,1956,531.6,107,5.38,cycling
291,2023-05-23,3631,311.24,103,5.14,walking
292,2023-05-23,1516,374.0,113,8.27,gym_workout
293,2023-05-23,481,210.0,87,5.24,yoga
294,2023-05-23,13730,1576.5,130,6.63,hiking
295,2023-05-23,17389,1641.45,127,7.24,hiking
296,2023-05-23,531,735.1,122,8.14,cycling
297,2023-05-23,1842,780.2,144,8.5,cycling
298,2023-05-23,467,287.0,65,5.25,yoga
299,2023-05-23,4342,541.0,146,6.21,gym_workout
300,2023-05-23,2214,881.4,120,6.68,cycling
301,2023-05-23,124,291.0,92,5.78,yoga
302,2023-05-23,100,679.0,157,5.18,swimming
303,2023-05-23,968,552.0,139,7.97,swimming
304,2023-05-23,16643,1292.58,142,8.88,running
305,2023-05-23,12165,937.9,162,7.72,running
306,2023-05-23,13930,700.2,71,7.53,walking
307,2023-05-23,19119,1352.14,168,9.68,running
308,2023-05-23,5057,740.0,154,7.8,gym_workout
309,2023-05-23,516,699.6,122,5.06,cycling
310,2023-05-23,5526,562.56,169,7.05,running
311,2023-05-23,286,150.0,95,7.31,yoga
312,2023-05-23,3182,848.2,120,9.0,cycling
313,2023-05-23,12638,1445.9,113,9.88,hiking
314,2023-05-23,578,680.0,118,7.78,swimming
315,2023-05-23,920,745.0,147,6.55,swimming
316,2023-05-23,17642,1494.52,146,8.65,running
317,2023-05-23,12779,760.16,100,5.97,walking
318,2023-05-23,15029,1159.74,166,5.02,running
319,2023-05-23,2129,693.9,111,7.67,cycling
320,2023-05-23,712,440.0,119,9.85,swimming
321,2023-05-23,209,527.0,155,9.57,swimming
322,2023-05-23,3625,707.5,123,4.29,cycling
323,2023-05-23,293,268.0,96,5.04,yoga
324,2023-05-23,3952,295.08,104,4.39,walking
325,2023-05-23,4987,924.7,116,5.24,cycling
326,2023-05-23,121,181.0,88,7.27,yoga
327,2023-05-23,18362,1588.72,167,6.05,running
328,2023-05-23,8020,871.2,166,5.24,running
329,2023-05-23,606,321.0,157,7.17,swimming
330,2023-05-23,113,466.0,152,4.33,swimming
331,2023-05-23,4199,920.9,114,5.39,cycling
332,2023-05-23,2155,895.5,131,7.89,cycling
333,2023-05-23,2855,933.5,126,7.69,cycling
334,2023-05-23,835,532.0,117,7.71,swimming
335,2023-05-23,3667,266.68,70,4.21,walking
336,2023-05-23,1470,784.0,118,9.19,cycling
337,2023-05-23,465,216.0,91,8.6,yoga
338,2023-05-23,3764,995.4,143,7.52,cycling
339,2023-05-23,693,460.3,147,9.16,cycling
340,2023-05-23,1416,593.0,149,6.75,gym_workout
341,2023-05-23,10826,1145.56,162,4.32,running
342,2023-05-23,3108,234.32,93,9.29,walking
343,2023-05-23,4878,812.0,153,6.03,gym_workout
344,2023-05-23,15772,1487.6,154,9.18,hiking
345,2023-05-23,3873,460.0,152,7.13,gym_workout
346,2023-05-23,974,315.0,143,8.22,swimming
347,2023-05-23,3507,996.7,142,8.76,cycling
348,2023-05-23,391,796.0,150,6.42,swimming
349,2023-05-23,17368,1853.4,153,5.45,hiking
350,2023-05-23,2208,804.8,111,6.87,cycling
351,2023-05-23,6111,836.66,144,7.95,running
352,2023-05-23,21265,1703.25,133,9.91,hiking
353,2023-05-23,9023,933.38,156,9.95,running
354,2023-05-23,5086,818.0,102,7.38,gym_workout
355,2023-05-23,508,741.0,141,6.57,swimming
356,2023-05-23,5717,825.0,108,7.09,gym_workout
357,2023-05-23,596,577.0,124,4.84,swimming
358,2023-05-23,4603,285.12,109,5.09,walking
359,2023-05-23,1595,583.5,106,4.04,cycling
360,2023-05-23,3068,842.0,130,5.48,gym_workout
361,2023-05-23,2169,645.9,136,5.92,cycling
362,2023-05-23,9495,487.8,106,8.52,walking
363,2023-05-23,3521,661.1,145,9.18,cycling
364,2023-05-23,163,146.0,84,9.97,yoga
365,2023-05-23,2071,588.0,132,7.03,gym_workout
366,2023-05-23,14257,743.28,85,7.23,walking
367,2023-05-23,2687,814.7,102,8.98,cycling
368,2023-05-23,210,795.0,154,7.32,swimming
369,2023-05-23,770,773.0,149,7.7,swimming
370,2023-05-23,6114,606.84,138,5.81,running
371,2023-05-23,1692,680.2,104,6.0,cycling
372,2023-05-23,1038,842.0,158,8.26,gym_workout
373,2023-05-23,3577,797.7,145,6.81,cycling
374,2023-05-23,3252,707.2,123,6.47,cycling
375,2023-05-23,8209,709.54,130,9.22,running
376,2023-05-23,888,560.8,140,7.56,cycling
377,2023-05-23,12530,698.2,89,7.17,walking
378,2023-05-23,216,436.0,148,6.63,swimming
379,2023-05-23,600,452.0,138,4.19,cycling
380,2023-05-23,9664,605.56,71,8.2,walking
381,2023-05-23,818,637.0,130,9.22,swimming
382,2023-05-23,437,258.0,70,5.37,yoga
383,2023-05-23,3238,777.8,122,8.01,cycling
384,2023-05-23,758,559.0,115,6.76,swimming
385,2023-05-23,8527,965.62,158,5.88,running
386,2023-05-23,13088,1012.28,164,4.66,running
387,2023-05-23,19584,1791.2,129,7.45,hiking
388,2023-05-23,8888,555.52,104,7.21,walking
389,2023-05-23,5458,395.0,136,8.07,gym_workout
390,2023-05-23,4216,510.0,123,4.58,gym_workout
391,2023-05-23,5412,453.0,147,9.07,gym_workout
392,2023-05-23,2667,728.0,108,8.16,gym_workout
393,2023-05-23,676,521.0,149,9.61,swimming
394,2023-05-23,5749,576.0,145,6.45,gym_workout
395,2023-05-23,1462,743.2,140,5.26,cycling
396,2023-05-23,4265,1012.5,133,4.14,cycling
397,2023-05-23,1350,525.0,148,4.54,gym_workout
398,2023-05-23,20552,1972.6,116,5.26,hiking
399,2023-05-23,1685,775.5,114,6.73,cycling
400,2023-05-23,204,135.0,99,5.89,yoga
401,2023-05-23,6471,490.84,95,9.94,walking
402,2023-05-23,12880,794.2,104,7.5,walking
403,2023-05-23,2039,519.0,151,5.07,gym_workout
404,2023-05-23,13171,728.84,103,5.81,walking
405,2023-05-23,1621,847.0,112,7.05,gym_workout
406,2023-05-23,420,204.0,66,9.52,yoga
407,2023-05-23,160,292.0,76,4.75,yoga
408,2023-05-23,12717,1092.02,169,6.63,running
409,2023-05-23,12109,733.36,73,4.88,walking
410,2023-05-23,2939,642.9,115,8.5,cycling
411,2023-05-23,15380,1412.8,126,8.97,running
412,2023-05-23,12312,1017.72,147,8.54,running
413,2023-05-23,3429,366.0,143,9.26,gym_workout
414,2023-05-23,13071,1320.55,112,8.15,hiking
415,2023-05-23,20156,1613.8,119,5.13,hiking
416,2023-05-23,8637,870.85,143,8.32,hiking
417,2023-05-23,10174,1307.7,133,4.06,hiking
418,2023-05-23,12274,1592.7,135,8.56,hiking
419,2023-05-23,3939,766.0,150,6.53,gym_workout
420,2023-05-23,14877,718.08,81,9.22,walking
421,2023-05-23,15790,1414.4,152,9.91,running
422,2023-05-23,751,657.0,149,8.98,swimming
423,2023-05-23,337,142.0,72,5.46,yoga
424,2023-05-23,22380,1784.0,136,7.56,hiking
425,2023-05-23,1291,445.0,139,6.23,gym_workout
426,2023-05-23,237,221.0,68,8.12,yoga
427,2023-05-23,14338,1237.28,132,5.28,running
428,2023-05-23,1430,774.0,142,8.55,cycling
429,2023-05-23,4976,731.0,140,6.27,gym_workout
430,2023-05-23,5817,413.0,140,6.94,gym_workout
431,2023-05-23,22423,1745.15,157,5.42,hiking
432,2023-05-23,1349,308.0,123,9.89,gym_workout
433,2023-05-23,643,764.0,141,6.01,swimming
434,2023-05-23,929,791.0,123,6.86,swimming
435,2023-05-23,3488,994.8,103,8.87,cycling
436,2023-05-23,3675,624.0,147,6.14,gym_workout
437,2023-05-23,21259,1928.95,117,6.67,hiking
438,2023-05-23,1155,568.5,137,9.07,cycling
439,2023-05-23,3865,405.0,143,6.27,gym_workout
440,2023-05-23,7446,437.84,83,8.14,walking
